outer_fold,selector,position,feature,feature_count
1,Mutual_Information_19,18,icmp.seq_le,19
1,Mutual_Information_19,19,http.content_length,19
1,Random_Forest_Importance_19,1,tcp.srcport,19
1,Random_Forest_Importance_19,2,tcp.ack,19
1,Random_Forest_Importance_19,3,tcp.dstport,19
1,Random_Forest_Importance_19,4,http.referer,19
1,Random_Forest_Importance_19,5,tcp.len,19
1,Random_Forest_Importance_19,6,tcp.seq,19
1,Random_Forest_Importance_19,7,icmp.seq_le,19
1,Random_Forest_Importance_19,8,udp.stream,19
1,Random_Forest_Importance_19,9,http.request.version,19
1,Random_Forest_Importance_19,10,http.request.method,19
1,Random_Forest_Importance_19,11,tcp.ack_raw,19
1,Random_Forest_Importance_19,12,tcp.flags,19
1,Random_Forest_Importance_19,13,tcp.checksum,19
1,Random_Forest_Importance_19,14,mqtt.topic,19
1,Random_Forest_Importance_19,15,icmp.checksum,19
1,Random_Forest_Importance_19,16,mqtt.conack.flags,19
1,Random_Forest_Importance_19,17,mqtt.protoname,19
1,Random_Forest_Importance_19,18,udp.port,19
1,Random_Forest_Importance_19,19,udp.time_delta,19
2,Full_42,1,arp.opcode,42
2,Full_42,2,arp.hw.size,42
2,Full_42,3,icmp.checksum,42
2,Full_42,4,icmp.seq_le,42
2,Full_42,5,icmp.transmit_timestamp,42
2,Full_42,6,http.content_length,42
2,Full_42,7,http.request.method,42
2,Full_42,8,http.referer,42
2,Full_42,9,http.request.version,42
2,Full_42,10,http.response,42
2,Full_42,11,tcp.ack,42
2,Full_42,12,tcp.ack_raw,42
2,Full_42,13,tcp.checksum,42
2,Full_42,14,tcp.connection.fin,42
2,Full_42,15,tcp.connection.rst,42
2,Full_42,16,tcp.connection.syn,42
2,Full_42,17,tcp.connection.synack,42
2,Full_42,18,tcp.dstport,42
2,Full_42,19,tcp.flags,42
2,Full_42,20,tcp.flags.ack,42
2,Full_42,21,tcp.len,42
2,Full_42,22,tcp.seq,42
2,Full_42,23,tcp.srcport,42
2,Full_42,24,udp.port,42
2,Full_42,25,udp.stream,42
2,Full_42,26,udp.time_delta,42
2,Full_42,27,dns.qry.name,42
2,Full_42,28,dns.qry.name.len,42
2,Full_42,29,dns.qry.qu,42
2,Full_42,30,dns.retransmission,42
2,Full_42,31,dns.retransmit_request,42
2,Full_42,32,mqtt.conack.flags,42
2,Full_42,33,mqtt.conflag.cleansess,42
2,Full_42,34,mqtt.conflags,42
2,Full_42,35,mqtt.hdrflags,42
2,Full_42,36,mqtt.len,42
2,Full_42,37,mqtt.msgtype,42
2,Full_42,38,mqtt.proto_len,42
2,Full_42,39,mqtt.protoname,42
2,Full_42,40,mqtt.topic,42
2,Full_42,41,mqtt.topic_len,42
2,Full_42,42,mqtt.ver,42
2,Natural_Global_20,1,http.referer,20
2,Natural_Global_20,2,tcp.srcport,20
2,Natural_Global_20,3,http.request.method,20
2,Natural_Global_20,4,http.request.version,20
2,Natural_Global_20,5,tcp.dstport,20
2,Natural_Global_20,6,tcp.ack,20
2,Natural_Global_20,7,mqtt.conack.flags,20
2,Natural_Global_20,8,icmp.checksum,20
2,Natural_Global_20,9,udp.stream,20
2,Natural_Global_20,10,icmp.seq_le,20
2,Natural_Global_20,11,tcp.flags,20
