,,feature_count,feature_count,accuracy,accuracy,macro_f1,macro_f1,balanced_accuracy,balanced_accuracy,mcc,mcc,training_seconds,training_seconds,milliseconds_per_record,milliseconds_per_record,serialized_model_bytes,serialized_model_bytes
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
selector,classifier,,,,,,,,,,,,,,,,
CS_SHAP_Union,Linear_Logistic_SGD,18.6,0.8944271909999155,0.30934463845915816,0.055448814177174545,0.2843958835294087,0.042942721883212104,0.32819267818883063,0.03536039804793461,0.3241792858048448,0.030569171845480376,51.67244054680013,12.703258974395666,0.0022826649049950453,0.00019163939306508502,8062.0,190.81142523444447
CS_SHAP_Union,Random_Forest,18.6,0.8944271909999155,0.9734449255706084,0.002171523061652813,0.9537358653204802,0.0069613047982831685,0.966997301586952,0.0007026990400448313,0.9710760096223835,0.002316071069892978,18.566231112000423,1.378339989841842,0.029431720133096678,0.0034140866123113555,170671155.2,2019753.9560198148
CS_SHAP_Union,XGBoost,18.6,0.8944271909999155,0.9777685683014005,0.0008691527195789296,0.9697855246446029,0.0010592242345273263,0.9673026764351699,0.00116142346078344,0.9757926598026575,0.0009506933123909258,35.3769196878,3.010705991978484,0.02833072279168916,0.0015971690571273038,7147928.0,43297.411366039014
Class_Balanced_15,Linear_Logistic_SGD,15.0,0.0,0.32369290128124417,0.06098262390130709,0.2793059328343462,0.04410419978786977,0.31940109963500257,0.03890140511005619,0.33036618941324697,0.03130688526884136,42.721551988999636,4.065944107509237,0.002089816738932295,9.554173520009666e-05,7467.2,191.39540224362756
Class_Balanced_15,Random_Forest,15.0,0.0,0.9675765129996616,0.001390987331108604,0.9368400460865361,0.001914121576826825,0.96711809837681,0.0014028130446762854,0.9649031474090229,0.001492178629148742,18.12703179319997,0.9884361327356498,0.02693179748316548,0.0017131950653695134,172963352.0,8566211.557456717
Class_Balanced_15,XGBoost,15.0,0.0,0.9758894086321768,0.0013291706588453034,0.9678244865278487,0.0012835190805387741,0.9647874033960019,0.0012156430125517313,0.9738241972598974,0.0014435931873225342,31.39514927579985,1.5203975993880146,0.026705081352995104,0.0006153929218743326,7147439.2,196728.52838670855
Full_42,Linear_Logistic_SGD,42.0,0.0,0.3127921854425802,0.03821777521112982,0.24682388620025875,0.014650285471012934,0.2898694129304838,0.01970350881328483,0.32547328703691547,0.0073416944886737084,64.1862223432001,5.663720889450588,0.0032454585503302854,0.00014096044821620846,11944.4,196.14229528584582
Full_42,Random_Forest,42.0,0.0,0.9749737331684404,0.002155349997051314,0.9552701236100452,0.0070063388184714425,0.9685474665446593,0.0009997078385990009,0.9727591265684872,0.002298497048918143,20.88050579619958,0.7844390928778244,0.03140195286195013,0.002986813507790495,199971413.6,745956.1655645695
Full_42,XGBoost,42.0,0.0,0.9774500738248953,0.0007890910726937304,0.9692883102114866,0.0009250995274652028,0.9666630988362177,0.0012435405626062216,0.9754396581314568,0.0008626271697613867,47.43631994240004,3.798150218226453,0.02998751258568307,0.001635699899957959,7246743.2,27379.779403786233
Mutual_Information_19,Linear_Logistic_SGD,19.0,0.0,0.31406620424328785,0.03735841102002496,0.2543174847238928,0.01822390679559583,0.2887104391278758,0.019068321161574302,0.3266351205239276,0.0066572317868709,52.32899060799991,9.792600184171336,0.003181374977073829,0.0010636941595019583,8449.6,193.61766448338335
Mutual_Information_19,Random_Forest,19.0,0.0,0.9689699614039435,0.0008835334732072882,0.9382428406466566,0.001452602947224108,0.968536062661699,0.000911628461121389,0.9664357086097091,0.000931230870093051,22.73413996899999,6.756721948305987,0.03089186562102226,0.006080032021828386,188004473.6,976178.8952268446
Mutual_Information_19,XGBoost,19.0,0.0,0.9753081451884249,0.0011531500168801704,0.9672633817107382,0.0011102042831511308,0.9641856221021936,0.0010949162463127781,0.9731845546372815,0.0012455473760999028,44.00041719639994,15.698176288026401,0.030010767056657207,0.005751312654361845,7435195.6,38484.664430133584
Natural_Global_20,Linear_Logistic_SGD,20.0,0.0,0.3072978210363111,0.0529112860383558,0.24513052980408584,0.04154514376946981,0.28176923939717036,0.03722096341398056,0.3163457012105108,0.02802954285711707,48.951796144600486,4.298283500417582,0.0024879364940729315,0.00018746741858342993,8571.6,193.61766448338335
Natural_Global_20,Random_Forest,20.0,0.0,0.9752285324269963,0.002056176086158594,0.9555303662035962,0.006892588472653027,0.9688110328035666,0.0009686825734767392,0.9730371744515015,0.002191110819585156,20.847481439399964,2.3749093063095046,0.02735415502423333,0.0017667582579056758,187601288.8,1929020.8461035918
Natural_Global_20,XGBoost,20.0,0.0,0.9774102598358672,0.0008397421045373624,0.9692618356912434,0.0007756642683959497,0.9666982955312884,0.0010716415965344925,0.9753950501719627,0.0009157630096571702,36.6003341984002,4.4008178763616606,0.028202463534814076,0.0014791848207453468,7338390.6,18072.332356394898
Random_Forest_Importance_19,Linear_Logistic_SGD,19.0,0.0,0.3061034771315946,0.05221234997418644,0.24305209037447167,0.04100915007609111,0.2805816027131107,0.03644532254959424,0.315384744608892,0.027410715798339043,52.50483884579971,8.294873585140882,0.0028344053350539905,0.00017249643089523544,8442.4,191.70498167757663
Random_Forest_Importance_19,Random_Forest,19.0,0.0,0.9689062604797588,0.001069932960482017,0.9381762917087789,0.0016662631913654821,0.9684711810755662,0.0010920586923147309,0.9663656979570943,0.001133704310738315,22.393603031399653,6.080744916905141,0.03378134940805826,0.011321913317437279,187644933.6,2395867.4291669982
Random_Forest_Importance_19,XGBoost,19.0,0.0,0.9752683362716059,0.0011968882196468696,0.9672390698224035,0.0011613811915222364,0.9642261675963851,0.0011830292144301342,0.973140082632146,0.0012948594833582842,42.83256948599974,15.056200307017622,0.03212657061991286,0.009812115248163536,7450562.0,34735.48922211979
Stable_Balanced_Core,Linear_Logistic_SGD,14.2,0.44721359549995776,0.3110485824660519,0.056786417473858056,0.285379831153867,0.043378789106647817,0.3281618855629637,0.03549918403301857,0.3258615515680587,0.03212464114152929,44.06097257220008,4.448487618216461,0.002087705813797045,0.00011664951484690673,7330.4,212.2658710202843
Stable_Balanced_Core,Random_Forest,14.2,0.44721359549995776,0.9671226552084361,0.0013130424953877904,0.9363818278486342,0.001868936480687819,0.9666577821434007,0.001331949647220858,0.9644051546206963,0.0014029949733324995,17.80762898159992,0.659961694677476,0.02693420482789382,0.001958920817725014,168357068.0,1017807.073792478
