selector,rank,feature,importance,outer_fold
Mutual_Information_19,1,tcp.dstport,1.4115415525413617,2
Mutual_Information_19,2,tcp.srcport,1.3660739678037146,2
Mutual_Information_19,3,tcp.ack,1.3270319546038998,2
Mutual_Information_19,4,tcp.seq,1.0321900120749916,2
Mutual_Information_19,5,tcp.ack_raw,0.9822110392434928,2
Mutual_Information_19,6,tcp.flags,0.8012443659405615,2
Mutual_Information_19,7,http.request.version,0.7158147097914282,2
Mutual_Information_19,8,http.request.method,0.7040519444722828,2
Mutual_Information_19,9,tcp.len,0.6816348714979488,2
Mutual_Information_19,10,http.referer,0.4953486732040622,2
Mutual_Information_19,11,tcp.checksum,0.4415446626445081,2
Mutual_Information_19,12,mqtt.topic,0.4317885920631075,2
Mutual_Information_19,13,mqtt.conack.flags,0.4312949971979356,2
Mutual_Information_19,14,mqtt.protoname,0.43126359312812124,2
Mutual_Information_19,15,icmp.checksum,0.30898525989528514,2
Mutual_Information_19,16,udp.stream,0.3057821320369638,2
Mutual_Information_19,17,tcp.flags.ack,0.30192438234696395,2
Mutual_Information_19,18,icmp.seq_le,0.29374703891014153,2
Mutual_Information_19,19,http.content_length,0.18083255251803187,2
Mutual_Information_19,20,tcp.connection.syn,0.10999520335748603,2
Mutual_Information_19,21,tcp.connection.rst,0.09036731906052564,2
Mutual_Information_19,22,http.response,0.07384807893179879,2
Mutual_Information_19,23,mqtt.hdrflags,0.06677783018864814,2
Mutual_Information_19,24,mqtt.msgtype,0.06312437186690101,2
Mutual_Information_19,25,tcp.connection.fin,0.04526807633599894,2
Mutual_Information_19,26,mqtt.len,0.04280037269651693,2
Mutual_Information_19,27,dns.qry.name,0.028688249709515556,2
Mutual_Information_19,28,tcp.connection.synack,0.02252543148943076,2
Mutual_Information_19,29,mqtt.conflags,0.020811835662546407,2
Mutual_Information_19,30,mqtt.ver,0.01608975839990956,2
Mutual_Information_19,31,mqtt.proto_len,0.015599374730756566,2
Mutual_Information_19,32,mqtt.conflag.cleansess,0.015566291527116416,2
Mutual_Information_19,33,mqtt.topic_len,0.015512998038092363,2
