outer_fold,selector,rank,feature,importance
2,Mutual_Information_Matched,18,dns_qclass,0.17282633271260206
2,Mutual_Information_Matched,19,dns_rcode,0.054827153298115494
2,Mutual_Information_Matched,20,missed_bytes,0.024972400878544576
2,Mutual_Information_Matched,21,ssl_cipher,0.007942032499512308
2,Mutual_Information_Matched,22,ssl_established,0.0075950755896863065
2,Mutual_Information_Matched,23,ssl_resumed,0.007559626276322895
2,Mutual_Information_Matched,24,http_version,0.007547245303712202
2,Mutual_Information_Matched,25,ssl_version,0.006469772406914931
2,Mutual_Information_Matched,26,weird_name,0.006084632562002312
2,Mutual_Information_Matched,27,http_response_body_len,0.00561098942871574
2,Mutual_Information_Matched,28,weird_notice,0.005600573121494978
2,Mutual_Information_Matched,29,http_method,0.005523523157988652
2,Mutual_Information_Matched,30,http_trans_depth,0.004341513978417755
2,Mutual_Information_Matched,31,http_orig_mime_types,0.003461530519283773
2,Mutual_Information_Matched,32,http_status_code,0.0023692045588004085
2,Mutual_Information_Matched,33,http_request_body_len,0.0010707067224733358
2,Mutual_Information_Matched,34,http_resp_mime_types,0.0009474816465160352
2,Random_Forest_Importance_Matched,1,src_ip_bytes,0.15641673785087631
2,Random_Forest_Importance_Matched,2,dst_port,0.1141979353679477
2,Random_Forest_Importance_Matched,3,src_port,0.10955369247707762
2,Random_Forest_Importance_Matched,4,duration,0.10295623107893398
2,Random_Forest_Importance_Matched,5,conn_state,0.0976713971512491
2,Random_Forest_Importance_Matched,6,dst_ip_bytes,0.07842396527230473
2,Random_Forest_Importance_Matched,7,src_bytes,0.0698122836140246
2,Random_Forest_Importance_Matched,8,src_pkts,0.06504575926995672
2,Random_Forest_Importance_Matched,9,dst_pkts,0.04867469188013014
2,Random_Forest_Importance_Matched,10,dst_bytes,0.04576823219371446
2,Random_Forest_Importance_Matched,11,service,0.02772608270610429
2,Random_Forest_Importance_Matched,12,proto,0.018044266207873815
2,Random_Forest_Importance_Matched,13,dns_rejected,0.017762027070417886
2,Random_Forest_Importance_Matched,14,dns_RA,0.013287503205557792
2,Random_Forest_Importance_Matched,15,dns_RD,0.008557963725515908
2,Random_Forest_Importance_Matched,16,dns_AA,0.007442653589422701
2,Random_Forest_Importance_Matched,17,dns_qtype,0.006445630000399209
2,Random_Forest_Importance_Matched,18,dns_rcode,0.004354624878786738
2,Random_Forest_Importance_Matched,19,dns_qclass,0.004264574961891105
2,Random_Forest_Importance_Matched,20,missed_bytes,0.0015218528484869326
2,Random_Forest_Importance_Matched,21,ssl_version,0.00031845077522724553
2,Random_Forest_Importance_Matched,22,ssl_cipher,0.00029896860693891665
2,Random_Forest_Importance_Matched,23,ssl_established,0.0002715634229162693
2,Random_Forest_Importance_Matched,24,ssl_resumed,0.00025069511231901606
2,Random_Forest_Importance_Matched,25,weird_name,0.00014105915373183476
2,Random_Forest_Importance_Matched,26,weird_notice,0.00013519869705828734
2,Random_Forest_Importance_Matched,27,http_trans_depth,0.00013489036719802256
2,Random_Forest_Importance_Matched,28,http_method,0.0001218745407156948
2,Random_Forest_Importance_Matched,29,http_status_code,0.00011899798020025392
2,Random_Forest_Importance_Matched,30,http_version,0.00011594640107171381
2,Random_Forest_Importance_Matched,31,http_response_body_len,9.947499329072703e-05
2,Random_Forest_Importance_Matched,32,http_resp_mime_types,5.792161114659851e-05
2,Random_Forest_Importance_Matched,33,http_request_body_len,3.948669114574619e-06
2,Random_Forest_Importance_Matched,34,http_orig_mime_types,2.9043183991501453e-06
3,Mutual_Information_Matched,1,src_ip_bytes,1.7938892225041259
3,Mutual_Information_Matched,2,dst_port,1.3226234262738858
3,Mutual_Information_Matched,3,dst_ip_bytes,1.2454027009285213
3,Mutual_Information_Matched,4,src_port,1.0670652225050041
3,Mutual_Information_Matched,5,conn_state,1.059522424882898
3,Mutual_Information_Matched,6,duration,0.9711414635018034
3,Mutual_Information_Matched,7,src_bytes,0.8057221484923152
3,Mutual_Information_Matched,8,dst_bytes,0.748658622999224
3,Mutual_Information_Matched,9,src_pkts,0.6745038625644684
3,Mutual_Information_Matched,10,dst_pkts,0.6680185499656237
3,Mutual_Information_Matched,11,service,0.5094615820124013
3,Mutual_Information_Matched,12,proto,0.24532306983828223
3,Mutual_Information_Matched,13,dns_rejected,0.23763129447921605
3,Mutual_Information_Matched,14,dns_RA,0.2115420176430578
3,Mutual_Information_Matched,15,dns_qtype,0.1903826984505712
3,Mutual_Information_Matched,16,dns_RD,0.1876505444312193
3,Mutual_Information_Matched,17,dns_AA,0.1746597204193603
3,Mutual_Information_Matched,18,dns_qclass,0.1727314837487408
3,Mutual_Information_Matched,19,dns_rcode,0.05251574963738159
3,Mutual_Information_Matched,20,missed_bytes,0.024570168400792625
3,Mutual_Information_Matched,21,ssl_resumed,0.00806347110788952
3,Mutual_Information_Matched,22,ssl_cipher,0.00790091606197807
3,Mutual_Information_Matched,23,ssl_established,0.00781639213422336
3,Mutual_Information_Matched,24,http_version,0.007451758511471507
3,Mutual_Information_Matched,25,weird_name,0.0058807570445247315
3,Mutual_Information_Matched,26,weird_notice,0.0056425026932918065
3,Mutual_Information_Matched,27,ssl_version,0.005626139626849547
3,Mutual_Information_Matched,28,http_response_body_len,0.0054748729305655885
3,Mutual_Information_Matched,29,http_method,0.005259212074844033
3,Mutual_Information_Matched,30,http_trans_depth,0.0046844553464544525
3,Mutual_Information_Matched,31,http_orig_mime_types,0.003521415676967621
3,Mutual_Information_Matched,32,http_status_code,0.0024523819909023636
3,Mutual_Information_Matched,33,http_request_body_len,0.0011636512857915449
3,Mutual_Information_Matched,34,http_resp_mime_types,0.0008911331153451663
3,Random_Forest_Importance_Matched,1,src_ip_bytes,0.16353398303061797
3,Random_Forest_Importance_Matched,2,dst_port,0.11675186475227185
3,Random_Forest_Importance_Matched,3,src_port,0.10568176072341412
3,Random_Forest_Importance_Matched,4,duration,0.1004728295654502
3,Random_Forest_Importance_Matched,5,conn_state,0.09448041530418055
3,Random_Forest_Importance_Matched,6,dst_ip_bytes,0.08050073795257157
