outer_fold,inner_fold,method,feature,importance,rank,minority_classes
1,1,Minority_Diagnostic,http_orig_mime_types,0.0,22,mitm
1,1,Minority_Diagnostic,http_request_body_len,0.0,22,mitm
1,1,Minority_Diagnostic,http_resp_mime_types,0.0,22,mitm
1,1,Minority_Diagnostic,http_response_body_len,0.0,22,mitm
1,1,Minority_Diagnostic,http_status_code,0.0,22,mitm
1,1,Minority_Diagnostic,http_trans_depth,0.0,22,mitm
1,1,Minority_Diagnostic,http_version,0.0,22,mitm
1,1,Minority_Diagnostic,missed_bytes,0.1156296581029892,14,mitm
1,1,Minority_Diagnostic,proto,0.2641334533691406,10,mitm
1,1,Minority_Diagnostic,service,0.9728209972381592,3,mitm
1,1,Minority_Diagnostic,src_bytes,0.4141923785209656,7,mitm
1,1,Minority_Diagnostic,src_ip_bytes,0.26338139176368713,11,mitm
1,1,Minority_Diagnostic,src_pkts,0.47796547412872314,5,mitm
1,1,Minority_Diagnostic,src_port,0.36044079065322876,9,mitm
1,1,Minority_Diagnostic,ssl_cipher,0.0,22,mitm
1,1,Minority_Diagnostic,ssl_established,0.0,22,mitm
1,1,Minority_Diagnostic,ssl_resumed,0.0,22,mitm
1,1,Minority_Diagnostic,ssl_version,0.024931641295552254,18,mitm
1,1,Minority_Diagnostic,weird_name,0.0,22,mitm
1,1,Minority_Diagnostic,weird_notice,0.0,22,mitm
1,2,Natural_Global,conn_state,0.902754545211792,2,mitm
1,2,Natural_Global,dns_AA,0.029579998925328255,17,mitm
1,2,Natural_Global,dns_RA,0.10393189638853073,13,mitm
1,2,Natural_Global,dns_RD,0.047110483050346375,15,mitm
1,2,Natural_Global,dns_qclass,0.00838108267635107,19,mitm
1,2,Natural_Global,dns_qtype,0.037751857191324234,16,mitm
1,2,Natural_Global,dns_rcode,0.02596476674079895,18,mitm
1,2,Natural_Global,dns_rejected,0.0637681782245636,14,mitm
1,2,Natural_Global,dst_bytes,0.16396842896938324,11,mitm
1,2,Natural_Global,dst_ip_bytes,0.3922664523124695,7,mitm
1,2,Natural_Global,dst_pkts,0.1522539258003235,12,mitm
1,2,Natural_Global,dst_port,0.9874057769775391,1,mitm
1,2,Natural_Global,duration,0.6963077187538147,4,mitm
1,2,Natural_Global,http_method,0.0006822285940870643,26,mitm
1,2,Natural_Global,http_orig_mime_types,0.0,34,mitm
1,2,Natural_Global,http_request_body_len,8.876993888407014e-06,33,mitm
1,2,Natural_Global,http_resp_mime_types,0.0001068460987880826,30,mitm
1,2,Natural_Global,http_response_body_len,0.001019672374241054,24,mitm
1,2,Natural_Global,http_status_code,0.003258202923461795,22,mitm
1,2,Natural_Global,http_trans_depth,5.071070700068958e-05,31,mitm
1,2,Natural_Global,http_version,0.0006077589932829142,27,mitm
1,2,Natural_Global,missed_bytes,0.005415310617536306,21,mitm
1,2,Natural_Global,proto,0.27990806102752686,8,mitm
1,2,Natural_Global,service,0.2485225349664688,10,mitm
1,2,Natural_Global,src_bytes,0.428208589553833,6,mitm
1,2,Natural_Global,src_ip_bytes,0.787514865398407,3,mitm
1,2,Natural_Global,src_pkts,0.2653276324272156,9,mitm
1,2,Natural_Global,src_port,0.6848750710487366,5,mitm
1,2,Natural_Global,ssl_cipher,0.0009509235387668014,25,mitm
1,2,Natural_Global,ssl_established,4.266828182153404e-05,32,mitm
1,2,Natural_Global,ssl_resumed,0.00017397939518559724,29,mitm
1,2,Natural_Global,ssl_version,0.005838237702846527,20,mitm
1,2,Natural_Global,weird_name,0.0012072785757482052,23,mitm
1,2,Natural_Global,weird_notice,0.00018252675363328308,28,mitm
1,2,Class_Balanced,conn_state,1.4125572443008423,1,mitm
1,2,Class_Balanced,dns_AA,0.02445034123957157,18,mitm
1,2,Class_Balanced,dns_RA,0.2027604579925537,13,mitm
1,2,Class_Balanced,dns_RD,0.05441366508603096,15,mitm
1,2,Class_Balanced,dns_qclass,0.006510747130960226,21,mitm
1,2,Class_Balanced,dns_qtype,0.04938123747706413,16,mitm
1,2,Class_Balanced,dns_rcode,0.04437290132045746,17,mitm
1,2,Class_Balanced,dns_rejected,0.08422774821519852,14,mitm
1,2,Class_Balanced,dst_bytes,0.3301110863685608,8,mitm
1,2,Class_Balanced,dst_ip_bytes,0.43243956565856934,7,mitm
1,2,Class_Balanced,dst_pkts,0.25928017497062683,11,mitm
1,2,Class_Balanced,dst_port,0.9281328320503235,4,mitm
1,2,Class_Balanced,duration,0.7831510305404663,5,mitm
1,2,Class_Balanced,http_method,0.0005707606323994696,26,mitm
1,2,Class_Balanced,http_orig_mime_types,0.0,34,mitm
1,2,Class_Balanced,http_request_body_len,5.3013495744380634e-06,33,mitm
1,2,Class_Balanced,http_resp_mime_types,0.00014423229731619358,30,mitm
1,2,Class_Balanced,http_response_body_len,0.0008212272077798843,25,mitm
1,2,Class_Balanced,http_status_code,0.001807397580705583,22,mitm
1,2,Class_Balanced,http_trans_depth,6.250437581911683e-05,32,mitm
1,2,Class_Balanced,http_version,0.00028394561377353966,27,mitm
1,2,Class_Balanced,missed_bytes,0.01643943414092064,19,mitm
1,2,Class_Balanced,proto,0.3253888785839081,9,mitm
1,2,Class_Balanced,service,0.2975926399230957,10,mitm
1,2,Class_Balanced,src_bytes,0.5682473182678223,6,mitm
1,2,Class_Balanced,src_ip_bytes,1.1505029201507568,2,mitm
1,2,Class_Balanced,src_pkts,0.2452908307313919,12,mitm
1,2,Class_Balanced,src_port,1.0448979139328003,3,mitm
1,2,Class_Balanced,ssl_cipher,0.0012600915506482124,23,mitm
1,2,Class_Balanced,ssl_established,7.5110889156349e-05,31,mitm
1,2,Class_Balanced,ssl_resumed,0.00019333630916662514,28,mitm
1,2,Class_Balanced,ssl_version,0.0071516274474561214,20,mitm
1,2,Class_Balanced,weird_name,0.0009721714304760098,24,mitm
1,2,Class_Balanced,weird_notice,0.00015930715017020702,29,mitm
1,2,Minority_Diagnostic,conn_state,0.2983854115009308,9,mitm
1,2,Minority_Diagnostic,dns_AA,0.04814213886857033,15,mitm
1,2,Minority_Diagnostic,dns_RA,1.2483799457550049,1,mitm
1,2,Minority_Diagnostic,dns_RD,0.009809039533138275,19,mitm
1,2,Minority_Diagnostic,dns_qclass,0.0015822850400581956,22,mitm
1,2,Minority_Diagnostic,dns_qtype,0.024925582110881805,17,mitm
1,2,Minority_Diagnostic,dns_rcode,0.004980928264558315,20,mitm
1,2,Minority_Diagnostic,dns_rejected,0.03916036710143089,16,mitm
1,2,Minority_Diagnostic,dst_bytes,0.23175716400146484,11,mitm
1,2,Minority_Diagnostic,dst_ip_bytes,1.10262131690979,2,mitm
1,2,Minority_Diagnostic,dst_pkts,0.19405841827392578,12,mitm
1,2,Minority_Diagnostic,dst_port,0.1689281463623047,13,mitm
1,2,Minority_Diagnostic,duration,0.6122135519981384,4,mitm
1,2,Minority_Diagnostic,http_method,0.0,23,mitm
1,2,Minority_Diagnostic,http_orig_mime_types,0.0,23,mitm
1,2,Minority_Diagnostic,http_request_body_len,0.0,23,mitm
1,2,Minority_Diagnostic,http_resp_mime_types,0.0,23,mitm
1,2,Minority_Diagnostic,http_response_body_len,0.0,23,mitm
1,2,Minority_Diagnostic,http_status_code,0.0,23,mitm
1,2,Minority_Diagnostic,http_trans_depth,0.0,23,mitm
1,2,Minority_Diagnostic,http_version,0.0,23,mitm
1,2,Minority_Diagnostic,missed_bytes,0.10973741859197617,14,mitm
1,2,Minority_Diagnostic,proto,0.360080361366272,7,mitm
1,2,Minority_Diagnostic,service,1.0172741413116455,3,mitm
1,2,Minority_Diagnostic,src_bytes,0.3879813253879547,6,mitm
1,2,Minority_Diagnostic,src_ip_bytes,0.24484723806381226,10,mitm
1,2,Minority_Diagnostic,src_pkts,0.5330326557159424,5,mitm
1,2,Minority_Diagnostic,src_port,0.35418713092803955,8,mitm
1,2,Minority_Diagnostic,ssl_cipher,0.0032983985729515553,21,mitm
1,2,Minority_Diagnostic,ssl_established,0.0,23,mitm
1,2,Minority_Diagnostic,ssl_resumed,0.0,23,mitm
1,2,Minority_Diagnostic,ssl_version,0.014800045639276505,18,mitm
1,2,Minority_Diagnostic,weird_name,0.0,23,mitm
1,2,Minority_Diagnostic,weird_notice,0.0,23,mitm
1,3,Natural_Global,conn_state,0.8886795043945312,2,mitm
1,3,Natural_Global,dns_AA,0.03259846940636635,18,mitm
1,3,Natural_Global,dns_RA,0.09374520182609558,13,mitm
1,3,Natural_Global,dns_RD,0.05885910987854004,15,mitm
1,3,Natural_Global,dns_qclass,0.012277165427803993,19,mitm
1,3,Natural_Global,dns_qtype,0.033444538712501526,16,mitm
1,3,Natural_Global,dns_rcode,0.03283468261361122,17,mitm
1,3,Natural_Global,dns_rejected,0.07363273203372955,14,mitm
1,3,Natural_Global,dst_bytes,0.2038174420595169,11,mitm
1,3,Natural_Global,dst_ip_bytes,0.43771374225616455,6,mitm
1,3,Natural_Global,dst_pkts,0.14945760369300842,12,mitm
1,3,Natural_Global,dst_port,0.9332632422447205,1,mitm
1,3,Natural_Global,duration,0.7001118063926697,4,mitm
1,3,Natural_Global,http_method,0.0005284072831273079,27,mitm
1,3,Natural_Global,http_orig_mime_types,0.0,34,mitm
1,3,Natural_Global,http_request_body_len,3.2627283417241415e-06,33,mitm
1,3,Natural_Global,http_resp_mime_types,0.0002078368270304054,29,mitm
1,3,Natural_Global,http_response_body_len,0.0012418313417583704,24,mitm
1,3,Natural_Global,http_status_code,0.004208402242511511,21,mitm
1,3,Natural_Global,http_trans_depth,0.00029914616607129574,28,mitm
1,3,Natural_Global,http_version,0.001081633847206831,25,mitm
1,3,Natural_Global,missed_bytes,0.008000130765140057,20,mitm
1,3,Natural_Global,proto,0.3001330494880676,8,mitm
1,3,Natural_Global,service,0.2091675102710724,10,mitm
1,3,Natural_Global,src_bytes,0.42480844259262085,7,mitm
1,3,Natural_Global,src_ip_bytes,0.7333093285560608,3,mitm
1,3,Natural_Global,src_pkts,0.25133344531059265,9,mitm
1,3,Natural_Global,src_port,0.6902830600738525,5,mitm
1,3,Natural_Global,ssl_cipher,0.001406090217642486,23,mitm
1,3,Natural_Global,ssl_established,6.921712338225916e-05,32,mitm
1,3,Natural_Global,ssl_resumed,0.00013590377056971192,30,mitm
