outer_fold,selector,feature_count,record_type,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,training_seconds,inference_seconds,milliseconds_per_record,minority_classes,class_name,class_precision,class_recall,class_f1,class_support
1,Full_Controlled,34,aggregate,0.9876334713445195,0.9627323559761305,0.9877032795352889,0.9662350389855059,0.9858380702991053,52.09363522300009,1.3339426319998893,0.03633532991936939,mitm,,,,,
1,Full_Controlled,34,per_class,,,,,,,,,mitm,backdoor,0.9997326203208556,0.9991982896846606,0.9994653835872761,3742.0
1,Full_Controlled,34,per_class,,,,,,,,,mitm,ddos,0.986404833836858,0.9799899949974987,0.9831869510664993,3998.0
1,Full_Controlled,34,per_class,,,,,,,,,mitm,dos,0.9889693209238194,0.9781793385612001,0.9835447377442578,2933.0
1,Full_Controlled,34,per_class,,,,,,,,,mitm,injection,0.979529946929492,0.9706987227648385,0.9750943396226415,3993.0
1,Full_Controlled,34,per_class,,,,,,,,,mitm,mitm,0.7030567685589519,0.7740384615384616,0.7368421052631579,208.0
1,Full_Controlled,34,per_class,,,,,,,,,mitm,normal,0.9970220369267421,0.9977351293360353,0.9973784556720686,8389.0
1,Full_Controlled,34,per_class,,,,,,,,,mitm,password,0.9906894816305989,0.9919375157470396,0.9913131058793907,3969.0
1,Full_Controlled,34,per_class,,,,,,,,,mitm,ransomware,0.9985994397759104,0.9992992291520673,0.9989492119089317,2854.0
1,Full_Controlled,34,per_class,,,,,,,,,mitm,scanning,0.98690539818279,0.991941982272361,0.9894172806430007,3723.0
1,Full_Controlled,34,per_class,,,,,,,,,mitm,xss,0.9650373387644263,0.9793317258008957,0.972131988374081,2903.0
1,Natural_Global_Stable,15,aggregate,0.9873338417955981,0.9627473192599239,0.987387900072943,0.9654951342381436,0.9854938912573439,28.79237946000012,1.0809290899999269,0.029443481422965975,mitm,,,,,
1,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,backdoor,0.9997326203208556,0.9991982896846606,0.9994653835872761,3742.0
1,Natural_Global_Stable,15,per_class,,,,,,,,,mitm,ddos,0.9868918578270733,0.9792396198099049,0.9830508474576272,3998.0
