method,subset_size,mean_spearman_rank_correlation,sd_spearman_rank_correlation,mean_pairwise_jaccard,nogueira_stability
Natural_Global,5,0.9910525383182703,0.0038333328184153317,1.0,1.0
Natural_Global,10,0.9910525383182703,0.0038333328184153317,0.890909090909091,0.92125
Natural_Global,15,0.9910525383182703,0.0038333328184153317,0.925,0.9377777777777778
Natural_Global,20,0.9910525383182703,0.0038333328184153317,1.0,1.0
Class_Balanced,5,0.9885552030967419,0.003475871420242802,1.0,1.0
Class_Balanced,10,0.9885552030967419,0.003475871420242802,1.0,1.0
Class_Balanced,15,0.9885552030967419,0.003475871420242802,0.925,0.9377777777777778
Class_Balanced,20,0.9885552030967419,0.003475871420242802,0.8969696969696971,0.895
Minority_Diagnostic,5,0.972745297723112,0.013324669421867382,0.7333333333333334,0.8183783783783783
Minority_Diagnostic,10,0.972745297723112,0.013324669421867382,0.8727272727272728,0.908125
Minority_Diagnostic,15,0.972745297723112,0.013324669421867382,0.8654411764705883,0.8859259259259259
Minority_Diagnostic,20,0.972745297723112,0.013324669421867382,0.9246753246753248,0.9236363636363636
