outer_fold,method,feature,feature_count,stable_balanced,stable_minority
5,Full_42,tcp.flags.ack,42,False,False
5,Full_42,tcp.len,42,True,True
5,Full_42,tcp.seq,42,True,False
5,Full_42,tcp.srcport,42,True,True
5,Full_42,udp.port,42,False,True
5,Full_42,udp.stream,42,True,False
5,Full_42,udp.time_delta,42,False,True
5,Full_42,dns.qry.name,42,False,False
5,Full_42,dns.qry.name.len,42,False,False
5,Full_42,dns.qry.qu,42,False,False
5,Full_42,dns.retransmission,42,False,False
5,Full_42,dns.retransmit_request,42,False,False
5,Full_42,mqtt.conack.flags,42,True,False
5,Full_42,mqtt.conflag.cleansess,42,False,False
5,Full_42,mqtt.conflags,42,False,False
5,Full_42,mqtt.hdrflags,42,False,False
5,Full_42,mqtt.len,42,False,False
5,Full_42,mqtt.msgtype,42,False,False
5,Full_42,mqtt.proto_len,42,False,False
5,Full_42,mqtt.protoname,42,False,False
5,Full_42,mqtt.topic,42,False,False
5,Full_42,mqtt.topic_len,42,False,False
5,Full_42,mqtt.ver,42,False,False
5,Natural_Global_20,http.referer,20,True,False
5,Natural_Global_20,tcp.srcport,20,True,True
5,Natural_Global_20,http.request.method,20,True,True
5,Natural_Global_20,tcp.dstport,20,True,True
5,Natural_Global_20,http.request.version,20,True,True
5,Natural_Global_20,tcp.ack,20,True,True
5,Natural_Global_20,mqtt.conack.flags,20,True,False
5,Natural_Global_20,icmp.checksum,20,True,True
5,Natural_Global_20,udp.stream,20,True,False
5,Natural_Global_20,icmp.seq_le,20,True,True
5,Natural_Global_20,tcp.ack_raw,20,True,True
5,Natural_Global_20,tcp.len,20,True,True
5,Natural_Global_20,tcp.seq,20,True,False
5,Natural_Global_20,tcp.flags,20,True,True
5,Natural_Global_20,tcp.checksum,20,False,False
5,Natural_Global_20,mqtt.protoname,20,False,False
5,Natural_Global_20,tcp.connection.syn,20,False,True
5,Natural_Global_20,tcp.connection.rst,20,False,False
5,Natural_Global_20,arp.opcode,20,False,True
5,Natural_Global_20,dns.qry.name,20,False,False
5,Class_Balanced_15,tcp.dstport,15,True,True
5,Class_Balanced_15,tcp.ack,15,True,True
5,Class_Balanced_15,tcp.srcport,15,True,True
5,Class_Balanced_15,http.referer,15,True,False
5,Class_Balanced_15,tcp.len,15,True,True
5,Class_Balanced_15,udp.stream,15,True,False
5,Class_Balanced_15,http.request.method,15,True,True
5,Class_Balanced_15,mqtt.conack.flags,15,True,False
5,Class_Balanced_15,icmp.seq_le,15,True,True
5,Class_Balanced_15,icmp.checksum,15,True,True
5,Class_Balanced_15,http.request.version,15,True,True
5,Class_Balanced_15,tcp.seq,15,True,False
5,Class_Balanced_15,tcp.ack_raw,15,True,True
5,Class_Balanced_15,tcp.flags,15,True,True
5,Class_Balanced_15,tcp.connection.syn,15,False,True
5,CS_SHAP,arp.opcode,19,False,True
5,CS_SHAP,http.referer,19,True,False
5,CS_SHAP,http.request.method,19,True,True
5,CS_SHAP,http.request.version,19,True,True
5,CS_SHAP,icmp.checksum,19,True,True
5,CS_SHAP,icmp.seq_le,19,True,True
5,CS_SHAP,icmp.transmit_timestamp,19,False,True
5,CS_SHAP,mqtt.conack.flags,19,True,False
5,CS_SHAP,tcp.ack,19,True,True
5,CS_SHAP,tcp.ack_raw,19,True,True
5,CS_SHAP,tcp.connection.syn,19,False,True
5,CS_SHAP,tcp.dstport,19,True,True
5,CS_SHAP,tcp.flags,19,True,True
5,CS_SHAP,tcp.len,19,True,True
5,CS_SHAP,tcp.seq,19,True,False
5,CS_SHAP,tcp.srcport,19,True,True
5,CS_SHAP,udp.port,19,False,True
5,CS_SHAP,udp.stream,19,True,False
5,CS_SHAP,udp.time_delta,19,False,True
