fold,method,feature,importance,rank
3,Class_Balanced,http.content_length,0.0349972,21
3,Class_Balanced,http.referer,0.75759524,4
3,Class_Balanced,http.request.method,0.39223456,8
3,Class_Balanced,http.request.version,0.3319266,10
3,Class_Balanced,http.response,0.00078932,31
3,Class_Balanced,icmp.checksum,0.29260525,11
3,Class_Balanced,icmp.seq_le,0.35595232,9
3,Class_Balanced,icmp.transmit_timestamp,0.011436264,26
3,Class_Balanced,mqtt.conack.flags,0.40820527,7
3,Class_Balanced,mqtt.conflag.cleansess,0.00043517165,32
3,Class_Balanced,mqtt.conflags,0.00038903157,33
3,Class_Balanced,mqtt.hdrflags,0.0,34
3,Class_Balanced,mqtt.len,0.0,34
3,Class_Balanced,mqtt.msgtype,0.0,34
3,Class_Balanced,mqtt.proto_len,0.0,34
3,Class_Balanced,mqtt.protoname,0.10745214,15
3,Class_Balanced,mqtt.topic,0.012329003,24
3,Class_Balanced,mqtt.topic_len,0.0,34
3,Class_Balanced,mqtt.ver,0.0,34
3,Class_Balanced,tcp.ack,0.9000919,1
3,Class_Balanced,tcp.ack_raw,0.195487,14
3,Class_Balanced,tcp.checksum,0.09602551,18
3,Class_Balanced,tcp.connection.fin,0.030539976,23
3,Class_Balanced,tcp.connection.rst,0.102876276,17
3,Class_Balanced,tcp.connection.syn,0.10692701,16
3,Class_Balanced,tcp.connection.synack,0.011784999,25
3,Class_Balanced,tcp.dstport,0.8539599,3
3,Class_Balanced,tcp.flags,0.22949919,13
3,Class_Balanced,tcp.flags.ack,0.004756421,28
3,Class_Balanced,tcp.len,0.7300187,5
3,Class_Balanced,tcp.seq,0.28347382,12
3,Class_Balanced,tcp.srcport,0.8641401,2
3,Class_Balanced,udp.port,0.010364998,27
3,Class_Balanced,udp.stream,0.43969458,6
3,Class_Balanced,udp.time_delta,0.042393465,20
3,Minority_Diagnostic,arp.hw.size,0.0067169443,22
3,Minority_Diagnostic,arp.opcode,0.046691857,12
3,Minority_Diagnostic,dns.qry.name,0.0017598221,24
3,Minority_Diagnostic,dns.qry.name.len,0.01834519,17
3,Minority_Diagnostic,dns.qry.qu,0.0,27
3,Minority_Diagnostic,dns.retransmission,0.0,27
3,Minority_Diagnostic,dns.retransmit_request,0.0,27
3,Minority_Diagnostic,http.content_length,0.0,27
3,Minority_Diagnostic,http.referer,0.012157213,20
3,Minority_Diagnostic,http.request.method,0.24916932,8
3,Minority_Diagnostic,http.request.version,0.4096043,6
3,Minority_Diagnostic,http.response,0.0,27
3,Minority_Diagnostic,icmp.checksum,0.5481081,3
3,Minority_Diagnostic,icmp.seq_le,0.45076743,5
3,Minority_Diagnostic,icmp.transmit_timestamp,0.08485657,10
3,Minority_Diagnostic,mqtt.conack.flags,0.003920858,23
3,Minority_Diagnostic,mqtt.conflag.cleansess,0.0,27
3,Minority_Diagnostic,mqtt.conflags,0.0,27
3,Minority_Diagnostic,mqtt.hdrflags,0.0,27
3,Minority_Diagnostic,mqtt.len,0.0,27
3,Minority_Diagnostic,mqtt.msgtype,0.0,27
3,Minority_Diagnostic,mqtt.proto_len,0.0,27
3,Minority_Diagnostic,mqtt.protoname,0.00041547566,25
3,Minority_Diagnostic,mqtt.topic,0.0,27
3,Minority_Diagnostic,mqtt.topic_len,0.0,27
3,Minority_Diagnostic,mqtt.ver,0.0,27
3,Minority_Diagnostic,tcp.ack,0.022500379,16
3,Minority_Diagnostic,tcp.ack_raw,0.03390559,14
3,Minority_Diagnostic,tcp.checksum,0.013499812,19
3,Minority_Diagnostic,tcp.connection.fin,0.0,27
3,Minority_Diagnostic,tcp.connection.rst,0.017224971,18
3,Minority_Diagnostic,tcp.connection.syn,0.038540717,13
3,Minority_Diagnostic,tcp.connection.synack,0.0,27
3,Minority_Diagnostic,tcp.dstport,0.5477729,4
3,Minority_Diagnostic,tcp.flags,0.244777,9
3,Minority_Diagnostic,tcp.flags.ack,0.00030191164,26
3,Minority_Diagnostic,tcp.len,3.845367,1
3,Minority_Diagnostic,tcp.seq,0.008769549,21
3,Minority_Diagnostic,tcp.srcport,1.4556818,2
3,Minority_Diagnostic,udp.port,0.07745788,11
3,Minority_Diagnostic,udp.stream,0.025097039,15
3,Minority_Diagnostic,udp.time_delta,0.31790403,7
4,Natural_Global,arp.hw.size,0.0070597003,24
4,Natural_Global,arp.opcode,0.04422658,19
4,Natural_Global,dns.qry.name,0.024425164,20
4,Natural_Global,dns.qry.name.len,0.00012594752,33
4,Natural_Global,dns.qry.qu,0.0,34
4,Natural_Global,dns.retransmission,0.0,34
4,Natural_Global,dns.retransmit_request,0.0,34
4,Natural_Global,http.content_length,0.01268184,22
4,Natural_Global,http.referer,1.1636143,1
4,Natural_Global,http.request.method,0.74288875,3
4,Natural_Global,http.request.version,0.5807409,4
4,Natural_Global,http.response,0.0008319607,28
4,Natural_Global,icmp.checksum,0.36556566,8
4,Natural_Global,icmp.seq_le,0.17530756,11
4,Natural_Global,icmp.transmit_timestamp,0.00082211674,29
4,Natural_Global,mqtt.conack.flags,0.3958705,7
4,Natural_Global,mqtt.conflag.cleansess,0.0,34
4,Natural_Global,mqtt.conflags,0.00021620546,32
4,Natural_Global,mqtt.hdrflags,0.0003730668,30
4,Natural_Global,mqtt.len,0.0,34
4,Natural_Global,mqtt.msgtype,0.0,34
4,Natural_Global,mqtt.proto_len,0.0,34
4,Natural_Global,mqtt.protoname,0.10584447,16
4,Natural_Global,mqtt.topic,0.016302427,21
4,Natural_Global,mqtt.topic_len,0.0,34
4,Natural_Global,mqtt.ver,0.0,34
4,Natural_Global,tcp.ack,0.49738187,6
4,Natural_Global,tcp.ack_raw,0.13202189,14
4,Natural_Global,tcp.checksum,0.11229826,15
4,Natural_Global,tcp.connection.fin,0.010808698,23
4,Natural_Global,tcp.connection.rst,0.05264356,17
4,Natural_Global,tcp.connection.syn,0.046993945,18
4,Natural_Global,tcp.connection.synack,0.0068485667,25
4,Natural_Global,tcp.dstport,0.5746907,5
4,Natural_Global,tcp.flags,0.20334953,10
4,Natural_Global,tcp.flags.ack,0.0047388477,26
4,Natural_Global,tcp.len,0.14052528,13
4,Natural_Global,tcp.seq,0.14165857,12
4,Natural_Global,tcp.srcport,0.936511,2
4,Natural_Global,udp.port,0.0015227067,27
4,Natural_Global,udp.stream,0.29401186,9
4,Natural_Global,udp.time_delta,0.00037000715,31
4,Class_Balanced,arp.hw.size,0.0060568047,28
4,Class_Balanced,arp.opcode,0.029723262,22
4,Class_Balanced,dns.qry.name,0.055602007,19
4,Class_Balanced,dns.qry.name.len,0.0025331108,30
4,Class_Balanced,dns.qry.qu,0.0,34
4,Class_Balanced,dns.retransmission,0.0,34
4,Class_Balanced,dns.retransmit_request,0.0,34
