method,feature,importance,rank,outer_fold,inner_fold
Minority_Diagnostic,mqtt.conack.flags,0.0058311,21,1,1
Minority_Diagnostic,mqtt.conflag.cleansess,0.0,26,1,1
Minority_Diagnostic,mqtt.conflags,0.0,26,1,1
Minority_Diagnostic,mqtt.hdrflags,0.0,26,1,1
Minority_Diagnostic,mqtt.len,0.0,26,1,1
Minority_Diagnostic,mqtt.msgtype,0.0,26,1,1
Minority_Diagnostic,mqtt.proto_len,0.0,26,1,1
Minority_Diagnostic,mqtt.protoname,0.002269814,23,1,1
Minority_Diagnostic,mqtt.topic,0.0,26,1,1
Minority_Diagnostic,mqtt.topic_len,0.0,26,1,1
Minority_Diagnostic,mqtt.ver,0.0,26,1,1
Minority_Diagnostic,tcp.ack,0.029164826,14,1,1
Minority_Diagnostic,tcp.ack_raw,0.029571356,13,1,1
Minority_Diagnostic,tcp.checksum,0.029988095,12,1,1
Minority_Diagnostic,tcp.connection.fin,0.0,26,1,1
Minority_Diagnostic,tcp.connection.rst,0.010713407,18,1,1
Minority_Diagnostic,tcp.connection.syn,0.018066542,16,1,1
Minority_Diagnostic,tcp.connection.synack,0.0,26,1,1
Minority_Diagnostic,tcp.dstport,0.4719398,6,1,1
Minority_Diagnostic,tcp.flags,0.3439685,8,1,1
Minority_Diagnostic,tcp.flags.ack,0.0012169231,25,1,1
Minority_Diagnostic,tcp.len,3.3170984,1,1,1
Minority_Diagnostic,tcp.seq,0.006527442,20,1,1
Minority_Diagnostic,tcp.srcport,1.4460435,2,1,1
Minority_Diagnostic,udp.port,0.17845486,10,1,1
Minority_Diagnostic,udp.stream,0.014037105,17,1,1
Minority_Diagnostic,udp.time_delta,0.77228284,3,1,1
Natural_Global,arp.hw.size,0.007199539,25,1,2
Natural_Global,arp.opcode,0.039087888,19,1,2
Natural_Global,dns.qry.name,0.025334986,20,1,2
Natural_Global,dns.qry.name.len,0.0,32,1,2
Natural_Global,dns.qry.qu,0.0,32,1,2
Natural_Global,dns.retransmission,0.0,32,1,2
Natural_Global,dns.retransmit_request,0.0,32,1,2
Natural_Global,http.content_length,0.02151077,21,1,2
Natural_Global,http.referer,1.1299593,1,1,2
Natural_Global,http.request.method,0.7472818,3,1,2
Natural_Global,http.request.version,0.5762006,4,1,2
Natural_Global,http.response,0.001249916,28,1,2
Natural_Global,icmp.checksum,0.40691388,8,1,2
Natural_Global,icmp.seq_le,0.19262157,10,1,2
Natural_Global,icmp.transmit_timestamp,0.0006331128,30,1,2
Natural_Global,mqtt.conack.flags,0.42693007,7,1,2
Natural_Global,mqtt.conflag.cleansess,0.0,32,1,2
Natural_Global,mqtt.conflags,0.0,32,1,2
Natural_Global,mqtt.hdrflags,0.0,32,1,2
Natural_Global,mqtt.len,0.0,32,1,2
Natural_Global,mqtt.msgtype,0.00030385234,31,1,2
Natural_Global,mqtt.proto_len,0.0,32,1,2
Natural_Global,mqtt.protoname,0.0769329,16,1,2
Natural_Global,mqtt.topic,0.018452536,22,1,2
Natural_Global,mqtt.topic_len,0.0,32,1,2
Natural_Global,mqtt.ver,0.0,32,1,2
Natural_Global,tcp.ack,0.49376017,6,1,2
Natural_Global,tcp.ack_raw,0.1584239,12,1,2
Natural_Global,tcp.checksum,0.11373755,15,1,2
Natural_Global,tcp.connection.fin,0.013681954,23,1,2
Natural_Global,tcp.connection.rst,0.05861702,17,1,2
Natural_Global,tcp.connection.syn,0.049449284,18,1,2
Natural_Global,tcp.connection.synack,0.010561738,24,1,2
Natural_Global,tcp.dstport,0.55359465,5,1,2
Natural_Global,tcp.flags,0.18556024,11,1,2
Natural_Global,tcp.flags.ack,0.0041961903,26,1,2
Natural_Global,tcp.len,0.12915663,14,1,2
Natural_Global,tcp.seq,0.13898091,13,1,2
Natural_Global,tcp.srcport,0.8955118,2,1,2
Natural_Global,udp.port,0.0009311673,29,1,2
Natural_Global,udp.stream,0.28055546,9,1,2
