classifier,selector,class_name,class_precision_mean,class_recall_mean,class_f1_mean,total_support
Linear_Logistic_SGD_Scaled,Full_42,Vulnerability_scanner,0.8523910267413111,0.8516308252274094,0.8520042848468357,8061.0
Linear_Logistic_SGD_Scaled,Full_42,XSS,0.7094922428048732,0.7174443970328592,0.713022686675165,8041.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,Backdoor,0.7888039548878836,0.8510368203075223,0.8034540965072697,8156.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,DDoS_HTTP,0.7551408780809277,0.6416170066668768,0.6910807806352586,8449.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,DDoS_ICMP,0.9540702512836658,0.9871352825329496,0.9700006404379933,11272.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,DDoS_TCP,0.8726998525697628,0.7070932603163738,0.7786046873185748,8197.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,DDoS_UDP,0.9984973366265096,0.9441252174688852,0.9703494791860603,11598.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,Fingerprinting,0.23369447028468526,0.417973602484472,0.2887246093108342,801.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,MITM,1.0,1.0,1.0,320.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,Normal,1.0,1.0,1.0,19441.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,Password,0.5080608249155597,0.4838876143647351,0.47484276251128027,7991.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,Port_Scanning,0.7464937288599206,0.958926918379072,0.8361564295223556,8057.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,Ransomware,0.7384324892863161,0.5278032036613272,0.5845559966979197,8740.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,SQL_injection,0.4367594163828451,0.4199109836999467,0.425034504955175,8249.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,Uploading,0.5875327550812232,0.6161898965307364,0.5944800318196408,8215.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,Vulnerability_scanner,0.8496760693546761,0.8350078995260285,0.8422742791054306,8061.0
Linear_Logistic_SGD_Scaled,Mutual_Information_19,XSS,0.5845476621120016,0.6826203816220328,0.6284174230860435,8041.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,Backdoor,0.9404216277251226,0.8787374821173104,0.9054793809027906,8156.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,DDoS_HTTP,0.8038692540668672,0.796902827554556,0.8002154201277298,8449.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,DDoS_ICMP,0.9961868700631754,0.9723211555903571,0.9840845611456264,11272.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,DDoS_TCP,0.8107951112587981,0.7930956561853598,0.8016464865323206,8197.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,DDoS_UDP,1.0,0.9852561300203714,0.9925710115160463,11598.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,Fingerprinting,0.23777112258915006,0.7052329192546584,0.35158815545628463,801.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,MITM,1.0,1.0,1.0,320.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,Normal,1.0,1.0,1.0,19441.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,Password,0.5339911242266256,0.5669853890220813,0.5141438671512412,7991.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,Port_Scanning,0.7907883427642831,0.924157659884818,0.8512755643301221,8057.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,Ransomware,0.9556385772568128,0.7331807780320366,0.8248705091545414,8740.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,SQL_injection,0.41947190729220807,0.49637819063895466,0.43596136264756025,8249.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,Uploading,0.6626091906210334,0.5130858186244674,0.5766131022490101,8215.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,Vulnerability_scanner,0.8507877974398976,0.8493978822809092,0.8500854802688178,8061.0
Linear_Logistic_SGD_Scaled,Natural_Global_20,XSS,0.6828561384334952,0.6895901165397376,0.6860387165370685,8041.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,Backdoor,0.8139315041947957,0.8571653983481806,0.8263061369641436,8156.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,DDoS_HTTP,0.6983844519873686,0.6817506945393268,0.683696682262627,8449.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,DDoS_ICMP,0.9540166438376326,0.9863367022312636,0.9695956461062079,11272.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,DDoS_TCP,0.8190164679024263,0.6737718567240585,0.738793108502348,8197.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,DDoS_UDP,0.9984977964900068,0.9427459071240577,0.9696134300169723,11598.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,Fingerprinting,0.28191982012847056,0.4116847826086957,0.3294163623617822,801.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,MITM,1.0,0.996875,0.9984251968503937,320.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,Normal,1.0,1.0,1.0,19441.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,Password,0.4892884097523661,0.35827922802189416,0.38098826327033386,7991.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,Port_Scanning,0.7158908920006526,0.9949104558763956,0.8325649246560693,8057.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,Ransomware,0.7266433726861312,0.5347826086956522,0.6026515438681566,8740.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,SQL_injection,0.48551187176332133,0.5664717275851296,0.5155177386926756,8249.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,Uploading,0.6022386228991994,0.6220328667072428,0.6071905064350306,8215.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,Vulnerability_scanner,0.8501038116541471,0.8455537283147626,0.8477945748298031,8061.0
Linear_Logistic_SGD_Scaled,Random_Forest_Importance_19,XSS,0.6260203951697194,0.6294048712311655,0.6228275147609424,8041.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,Backdoor,0.671999257837777,0.9243509635613902,0.7754530147904186,8156.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,DDoS_HTTP,0.6912719783735807,0.7379599286717745,0.7102051174448694,8449.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,DDoS_ICMP,0.9586747539079319,0.985804315363473,0.9718653988101256,11272.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,DDoS_TCP,0.8267158022674543,0.6923248857869909,0.7526855624677002,8197.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,DDoS_UDP,0.9971990617942448,0.949471197454313,0.9725819167032009,11598.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,Fingerprinting,0.41744297595520424,0.3443090062111801,0.2860661456247186,801.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,MITM,1.0,1.0,1.0,320.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,Normal,1.0,1.0,1.0,19441.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,Password,0.5528430215727995,0.3387220266734293,0.3807698182769851,7991.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,Port_Scanning,0.7131619061614165,0.996151612749198,0.8311318045703109,8057.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,Ransomware,0.7140781668818409,0.31796338672768876,0.43490818071267673,8740.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,SQL_injection,0.5003878700099177,0.707536982928129,0.5762144250712431,8249.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,Uploading,0.6376450285514682,0.6099817407181984,0.6203038005321264,8215.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,Vulnerability_scanner,0.8511036480821936,0.8543600460895423,0.8527219027080744,8061.0
Linear_Logistic_SGD_Scaled,Stable_Balanced_Core,XSS,0.6552748782190886,0.5938386841429892,0.6183337662898385,8041.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,Backdoor,0.10444562702665303,0.09032125725826808,0.09050953365099722,8156.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,DDoS_HTTP,0.4053969342355602,0.5042122890544806,0.44700061823722576,8449.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,DDoS_ICMP,0.9530123315368225,0.9709001981203162,0.9617015217529599,11272.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,DDoS_TCP,0.7410915741142036,0.5496111549279007,0.6170875546857035,8197.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,DDoS_UDP,0.8169920357658798,0.97301326374329,0.8866176149677522,11598.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,Fingerprinting,0.21354957639937666,0.2542701863354037,0.17971042622401917,801.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,MITM,1.0,1.0,1.0,320.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,Normal,0.5943704430874559,0.7888443928057083,0.673812637019284,19441.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,Password,0.43349555408576707,0.2561318439794583,0.2922780926627536,7991.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,Port_Scanning,0.782922797634463,0.9215556664556483,0.8462849421740909,8057.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,Ransomware,0.7504578101994929,0.4443935926773455,0.5549023266503641,8740.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,SQL_injection,0.2835014105483381,0.36994564198687907,0.3178818976356988,8249.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,Uploading,0.3357971830979346,0.09312233718807056,0.14194729390895935,8215.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,Vulnerability_scanner,0.625915234767151,0.8493981899547565,0.7206859526040006,8061.0
Linear_Logistic_SGD_Scaled,Stable_Minority_Only,XSS,0.4736794938219721,0.5937172434904409,0.5251582410990409,8041.0
Random_Forest,CS_SHAP_Union,Backdoor,1.0,0.9661602409204025,0.9827866507934855,8156.0
Random_Forest,CS_SHAP_Union,DDoS_HTTP,0.9676245536559506,0.9653218003019889,0.9664631502517376,8449.0
Random_Forest,CS_SHAP_Union,DDoS_ICMP,0.9999112688553682,0.9996451147700958,0.9997781425942052,11272.0
Random_Forest,CS_SHAP_Union,DDoS_TCP,1.0,1.0,1.0,8197.0
Random_Forest,CS_SHAP_Union,DDoS_UDP,1.0,0.9999137931034483,0.9999568872601854,11598.0
Random_Forest,CS_SHAP_Union,Fingerprinting,0.5394418333666693,0.9013897515527951,0.6665039476898148,801.0
Random_Forest,CS_SHAP_Union,MITM,1.0,1.0,1.0,320.0
Random_Forest,CS_SHAP_Union,Normal,1.0,1.0,1.0,19441.0
Random_Forest,CS_SHAP_Union,Password,0.9361365525264433,0.8933790753138109,0.9142553681715387,7991.0
Random_Forest,CS_SHAP_Union,Port_Scanning,0.9629026701603525,0.933846477304758,0.9481404182036473,8057.0
