outer_fold,selector,classifier,feature_count,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,training_seconds,inference_seconds,milliseconds_per_record,serialized_model_bytes,record_type,class_name,class_precision,class_recall,class_f1,class_support
1,Natural_Global_20,XGBoost,20,,,,,,,,,,per_class,XSS,0.9694935936546676,0.9875699192044748,0.978448275862069,1609.0
1,Natural_Global_20,Random_Forest,20,0.9716537940918863,0.9435167328172118,0.9742309621976598,0.96867028828366,0.9692325975002276,25.07949969000037,0.6709627079999336,0.026712425670831,188521937.0,aggregate,,,,,
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,Backdoor,1.0,0.9650521152667076,0.9822152886115444,1631.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,DDoS_HTTP,0.972123368920522,0.9698224852071006,0.9709715639810428,1690.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,DDoS_ICMP,1.0,1.0,1.0,2254.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,DDoS_TCP,1.0,1.0,1.0,1639.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,DDoS_UDP,1.0,1.0,1.0,2320.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,Fingerprinting,0.3355263157894737,0.95625,0.4967532467532467,160.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,MITM,1.0,1.0,1.0,64.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,Normal,1.0,1.0,1.0,3888.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,Password,0.9631650750341064,0.8836045056320401,0.9216710182767625,1598.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,Port_Scanning,0.9579885423297264,0.9336228287841192,0.9456487590323592,1612.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,Ransomware,1.0,0.8867276887871853,0.939963614311704,1748.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,SQL_injection,0.9204350314825416,0.9745454545454544,0.946717692081248,1650.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,Uploading,0.970798569725864,0.9914790018259282,0.981029810298103,1643.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,Vulnerability_scanner,0.9943714821763602,0.9863523573200992,0.990345686701962,1612.0
1,Natural_Global_20,Random_Forest,20,,,,,,,,,,per_class,XSS,0.9723247232472324,0.9825978868862648,0.9774343122102008,1609.0
1,Class_Balanced_15,XGBoost,15,0.9747989489609046,0.9671805384282502,0.9747651661685176,0.9627965837950376,0.972625529178441,33.93419501599965,0.6886334060000081,0.02741593303607,7487921.0,aggregate,,,,,
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,Backdoor,1.0,0.9650521152667076,0.9822152886115444,1631.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,DDoS_HTTP,0.979591836734694,0.9656804733727812,0.9725864123957092,1690.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,DDoS_ICMP,0.9960070984915704,0.9960070984915704,0.9960070984915704,2254.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,DDoS_TCP,1.0,1.0,1.0,1639.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,DDoS_UDP,0.9987080103359172,0.9995689655172414,0.999138302455838,2320.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,Fingerprinting,0.9558823529411764,0.8125,0.8783783783783784,160.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,MITM,1.0,1.0,1.0,64.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,Normal,1.0,1.0,1.0,3888.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,Password,0.963573883161512,0.8773466833541927,0.9184408778250902,1598.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,Port_Scanning,1.0,0.8821339950372209,0.937376400791035,1612.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,Ransomware,0.8666336142786316,1.0,0.9285524568393092,1748.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,SQL_injection,0.9157175398633256,0.9745454545454544,0.9442160892542572,1650.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,Uploading,0.9702380952380952,0.9920876445526476,0.9810412278061992,1643.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,Vulnerability_scanner,0.9937616968184654,0.988213399503722,0.9909797822706066,1612.0
1,Class_Balanced_15,XGBoost,15,,,,,,,,,,per_class,XSS,0.9689403166869672,0.9888129272840274,0.978775761304214,1609.0
