classifier,metric,reference,comparator,reference_mean,comparator_mean,mean_paired_difference,cohen_dz,exact_sign_flip_p,reference_wins,ties,reference_losses,holm_p_within_classifier_metric
Random_Forest,macro_f1,CS_SHAP_Union,Full_42,0.9537358653204799,0.9552701236100452,-0.0015342582895650826,-2.644534849357177,0.0625,0,0,5,0.4375
Random_Forest,macro_f1,CS_SHAP_Union,Mutual_Information_19,0.9537358653204799,0.9382428406466566,0.015493024673823408,2.37742257899379,0.0625,5,0,0,0.4375
Random_Forest,macro_f1,CS_SHAP_Union,Natural_Global_20,0.9537358653204799,0.9555303662035962,-0.0017945008831162569,-3.83461435507125,0.0625,0,0,5,0.4375
Random_Forest,macro_f1,CS_SHAP_Union,Random_Forest_Importance_19,0.9537358653204799,0.9381762917087789,0.015559573611701216,2.3692712819527184,0.0625,5,0,0,0.4375
Random_Forest,macro_f1,CS_SHAP_Union,Stable_Balanced_Core,0.9537358653204799,0.936381827848634,0.01735403747184592,2.6245708945405037,0.0625,5,0,0,0.4375
Random_Forest,macro_f1,CS_SHAP_Union,Stable_Minority_Only,0.9537358653204799,0.9140772345410371,0.03965863077944305,1.7890239065106637,0.0625,5,0,0,0.4375
Random_Forest,balanced_accuracy,CS_SHAP_Union,Class_Balanced_15,0.966997301586952,0.96711809837681,-0.0001207967898579465,-0.07853928882500993,0.8125,2,0,3,1.0
Random_Forest,balanced_accuracy,CS_SHAP_Union,Full_42,0.966997301586952,0.9685474665446593,-0.0015501649577073008,-2.6720308465614395,0.0625,0,0,5,0.4375
Random_Forest,balanced_accuracy,CS_SHAP_Union,Mutual_Information_19,0.966997301586952,0.968536062661699,-0.001538761074746997,-1.7976049409009,0.0625,0,0,5,0.4375
Random_Forest,balanced_accuracy,CS_SHAP_Union,Natural_Global_20,0.966997301586952,0.9688110328035666,-0.0018137312166146558,-3.901312576376336,0.0625,0,0,5,0.4375
Random_Forest,balanced_accuracy,CS_SHAP_Union,Random_Forest_Importance_19,0.966997301586952,0.9684711810755662,-0.001473879488614105,-1.434940050099696,0.0625,0,0,5,0.4375
Random_Forest,balanced_accuracy,CS_SHAP_Union,Stable_Balanced_Core,0.966997301586952,0.9666577821434007,0.0003395194435512172,0.23744828504861742,0.6875,3,0,2,1.0
Random_Forest,balanced_accuracy,CS_SHAP_Union,Stable_Minority_Only,0.966997301586952,0.9280266948109024,0.0389706067760496,1.8002600926252814,0.0625,5,0,0,0.4375
Random_Forest,mcc,CS_SHAP_Union,Class_Balanced_15,0.9710760096223833,0.9649031474090227,0.006172862213360508,2.1613819686252245,0.0625,5,0,0,0.4375
Random_Forest,mcc,CS_SHAP_Union,Full_42,0.9710760096223833,0.9727591265684872,-0.001683116946103924,-2.6868996228958277,0.0625,0,0,5,0.4375
Random_Forest,mcc,CS_SHAP_Union,Mutual_Information_19,0.9710760096223833,0.9664357086097091,0.004640301012674208,2.420847041318569,0.0625,5,0,0,0.4375
Random_Forest,mcc,CS_SHAP_Union,Natural_Global_20,0.9710760096223833,0.9730371744515015,-0.0019611648291181006,-3.884993710051558,0.0625,0,0,5,0.4375
Random_Forest,mcc,CS_SHAP_Union,Random_Forest_Importance_19,0.9710760096223833,0.9663656979570943,0.004710311665289102,2.3805076690511946,0.0625,5,0,0,0.4375
Random_Forest,mcc,CS_SHAP_Union,Stable_Balanced_Core,0.9710760096223833,0.9644051546206965,0.006670855001686893,3.28583911021391,0.0625,5,0,0,0.4375
Random_Forest,mcc,CS_SHAP_Union,Stable_Minority_Only,0.9710760096223833,0.9288913201058046,0.042184689516578874,1.8447950999995424,0.0625,5,0,0,0.4375
